Base,Latitude,Longitude,AFSC
GOODFELLOW,31.42944,-100.39889,"['14N1 - USAF', '14N1 - USSF', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
GRAND FORKS,47.96111,-97.40111,"['21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
HANSCOM,42.47,-71.28917,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1E - USSF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
HILL,41.12389,-111.97278,"['13M1', '15A1', '21A1', '21M1', '21R1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
HOLLOMAN,32.8525,-106.10639,"['15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1']"
HURLBURT FIELD,30.42778,-86.68944,"['14F1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
INCIRLIK,37.00194,35.42583,['64P1']
JB ANACOSTIA BOLLING,38.84278,-77.01611,"['32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '63A1 - USAF', '64P1', '65F1', '71S1']"
JB CHARLESTON,32.89861,-80.04056,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
JB ELMENDORF-RICH,61.25139,-149.80639,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '63A1 - USAF', '64P1', '65F1']"
JB LANGLEY-EUSTIS,37.08278,-76.36056,"['13H1', '14F1', '15A1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '63A1 - USAF', '64P1', '65F1', '71S1']"
JB LEWIS-MCCHORD,47.1475,-122.47944,"['15W1', '21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '65F1', '71S1']"
JB PRL HBR-HICKAM,21.34972,-157.95861,"['15W1', '21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
JBASA RANDOLPH,29.44889,-98.44889,['63A1 - USAF']
JBMDL MCGUIRE,40.01917,-74.52278,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
JBSA FT SAM HOUSTON,29.458483,-98.452145,"['61C1', '61D1', '63A1 - USAF', '65F1', '71S1']"
JBSA LACKLAND,29.383626,-98.633187,"['13H1', '14F1', '19Z1A', '19Z1B', '21R1', '31P1', '35P1', '38F1', '61C1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
JBSA RANDOLPH,29.53495,-98.286245,"['13H1', '15A1', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '92T3']"
KADENA,26.35167,127.76944,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '61C1', '64P1', '65F1']"
KAPAUN,49.428878,7.69736,['15W1']
KEESLER,30.41139,-88.92361,"['17D1 - USAF', '17D1 - USSF', '21R1', '38F1', '64P1', '65F1', '71S1']"
KIRTLAND,35.04028,-106.60917,"['15A1', '19Z1C', '21A1', '21M1', '21R1', '31P1', '35P1', '38F1', '61C1', '61D1', '62E1A - USAF', '62E1A - USSF', '62E1B - USAF', '62E1B - USSF', '62E1C - USAF', '62E1C - USSF', '62E1E - USAF', '62E1E - USSF', '62E1G - USAF', '62E1G - USSF', '62E1H - USAF', '62E1H - USSF', '62E1I - USAF', '62E1I - USSF', '63A1 - USAF', '63A1 - USSF', '64P1', '65F1', '71S1']"
KUNSAN,38.76167,-27.09056,['21A1']
LAKENHEATH,52.40833,0.55667,"['21A1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
LAUGHLIN,29.35944,-100.77806,"['13H1', '15W1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1', '92T0']"
LITTLE ROCK,34.91694,-92.14639,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
LOS ANGELES,33.917463,-118.380276,"['15A1', '61D1', '62E1A - USSF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF', '64P1', '65F1', '71S1']"
LUKE,33.535,-112.38306,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
MACDILL,27.84944,-82.52111,"['21A1', '21R1', '35P1', '38F1', '64P1', '65F1', '71S1']"
MALMSTROM,47.50472,-111.18722,"['13N1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
MAUI ISLAND,20.707918,-156.256875,['61D1']
MAXWELL-GUNTER,32.37917,-86.3625,"['38F1', '63A1 - USAF', '64P1', '65F1']"
MCCONNELL,37.62306,-97.26722,"['21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
MILDENHALL,52.365,0.48083,"['14F1', '21A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '61C1', '65F1']"
MINOT,48.41583,-101.35806,"['13N1', '21A1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1', '71S1']"
MISAWA,40.70528,141.37194,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '64P1', '65F1']"
MOODY,30.96778,-83.19278,"['21A1', '21M1', '21R1', '31P1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '64P1', '65F1']"
MOUNTAIN HOME,43.04361,-115.8725,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '63A1 - USAF', '64P1', '65F1']"
NELLIS,36.23611,-115.03417,"['15A1', '15W1', '21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '64P1', '65F1', '71S1']"
OFFUTT,41.11944,-95.90861,"['15W1', '21A1', '21R1', '38F1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
OSAN,37.09056,127.02972,"['21A1', '65F1']"
PATRICK,28.235,-80.61,"['32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '61C1', '61D1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1C - USSF', '62E1E - USAF', '62E1E - USSF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1']"
PATUXENT RIVER NA,38.284109,-76.435262,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF']]"
PENSACOLA NAS,30.3525,-87.31778,['92T1']
PENTAGON,38.869863,-77.056963,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF']"
PETERSON,38.82361,-104.695,"['13H1', '15A1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '62E1A - USSF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF', '64P1', '65F1', '71S1']"
POPE,35.17083,-79.01444,"['21R1', '38F1', '65F1']"
POWAY,32.871628,-117.139429,"['62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF']"
RAMSTEIN,49.4439167,7.6022583,"['21A1', '21M1', '21R1', '32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '38F1', '64P1', '65F1']"
ROBINS,32.64,-83.59167,"['13M1', '21R1', '38F1', '62E1A - USAF', '62E1B - USAF', '62E1C - USAF', '62E1E - USAF', '62E1G - USAF', '62E1H - USAF', '62E1I - USAF', '63A1 - USAF', '64P1', '65F1', '71S1']"
ROME LAB MTC,43.221361,-75.408556,"['61D1', '63A1 - USAF']"
ROME LAB NY,43.221361,-75.408556,"['62E1C - USAF', '62E1E - USAF']"
SAN ANTONIO,29.44889,-98.44889,['62E1E - USAF']
SCHRIEVER,38.80333,-104.52556,"['32E1A', '32E1C', '32E1E', '32E1F', '32E1G', '32E1J', '35P1', '62E1A - USSF', '62E1B - USSF', '62E1C - USSF', '62E1E - USSF', '62E1G - USSF', '62E1H - USSF', '62E1I - USSF', '63A1 - USSF', '64P1']"
