13H1,13M1,13N1,13S1 - USSF,14F1,14N1 - USAF,14N1 - USSF,15A1,15W1,17D1 - USAF,17D1 - USSF,19Z1A,19Z1B,19Z1C,21A1,21M1,21R1,31P1,32E1A,32E1C,32E1E,32E1F,32E1G,32E1J,35P1,38F1,61C1,61D1,62E1A - USAF,62E1A - USSF,62E1B - USAF,62E1B - USSF,62E1C - USAF,62E1C - USSF,62E1E - USAF,62E1E - USSF,62E1G - USAF,62E1G - USSF,62E1H - USAF,62E1H - USSF,62E1I - USAF,62E1I - USSF,63A1 - USAF,63A1 - USSF,64P1,65F1,71S1,92T0,92T0E,92T0H,92T1,92T2,92T3
,,,,,,,NELLIS ,FT LIBERTY (airborne),,,,,,EIELSON,ELLSWORTH,EGLIN,,DAVIS-MONTHAN ,DAVIS-MONTHAN ,DAVIS-MONTHAN ,DAVIS-MONTHAN ,DAVIS-MONTHAN ,DAVIS-MONTHAN ,DYESS,EGLIN,WRIGHT PATTERSON ,KIRTLAND ,FT GORDON,,FT GORDON,,HANSCOM,,HANSCOM,WRIGHT PATTERSON,HILL,,HANSCOM,,HILL,,JB ELMENDORF-RICH,,DOVER,COLUMBUS,JB LEWIS-MCCHORD,,,,,,
,,,,,,,PETERSON ,FT STEWART,,,,,,ELLSWORTH,FE WARREN,EIELSON,,DOVER ,DOVER ,DOVER ,DOVER ,DOVER ,DOVER ,EGLIN,EIELSON,,LOS ANGELES,HANSCOM,,HANSCOM,,HILL,,HILL,,HOLLOMAN,,HILL,,HOLLOMAN,,JB LANGLEY-EUSTIS,,DYESS,DAVIS-MONTHAN,JBSA FT SAM HOUSTON,,,,,,
,,,,,,,SCOTT,HOLLOMAN ,,,,,,FAIRCHILD,HILL,ELLSWORTH,,DYESS,DYESS,DYESS,DYESS,DYESS,DYESS,EIELSON,ELLSWORTH,,MAUI ISLAND ,HILL,,HILL,,HOLLOMAN,,HOLLOMAN,,HURLBURT FIELD,,HOLLOMAN,,HURLBURT FIELD,,JBSA FT SAM HOUSTON,,EDWARDS,DOVER,JBSA LACKLAND,,,,,,
,,,,,,,TINKER,JB LEWIS-MCCHORD,,,,,,HILL,HOLLOMAN,FAIRCHILD,,EGLIN,EGLIN,EGLIN,EGLIN,EGLIN,EGLIN,ELLSWORTH,FE WARREN,,OFFUTT,HOLLOMAN,,HOLLOMAN,,HURLBURT FIELD,,HURLBURT FIELD,,JBSA LACKLAND,,HURLBURT FIELD,,JBSA LACKLAND,,JBSA LACKLAND,,EGLIN,DYESS,KEESLER,,,,,,
,,,,,,,TYNDALL,JB PRL HBR-HICKAM,,,,,,HOLLOMAN,HURLBURT FIELD ,FE WARREN,,EIELSON,EIELSON,EIELSON,EIELSON,EIELSON,EIELSON,FAIRCHILD,FT GORDON,,PATRICK ,HURLBURT FIELD,,HURLBURT FIELD,,JBSA LACKLAND,,JBSA LACKLAND,,JBSA RANDOLPH,,JBSA LACKLAND,,JBSA RANDOLPH,,JBASA RANDOLPH,,EIELSON,EDWARDS,KIRTLAND,,,,,,
,,,,,,,WHITEMAN ,KAPAUN,,,,,,HURLBURT FIELD ,JB ELMENDORF-RICH,GRAND FORKS,,ELLSWORTH,ELLSWORTH,ELLSWORTH,ELLSWORTH,ELLSWORTH,ELLSWORTH,FE WARREN,GOODFELLOW,,ROME LAB MTC ,JBSA LACKLAND,,JBSA LACKLAND,,JBSA RANDOLPH,,JBSA RANDOLPH,,KIRTLAND,,JBSA RANDOLPH,,KIRTLAND,,KIRTLAND,,ELLSWORTH,EGLIN,LOS ANGELES,,,,,,
,,,,,,,WRIGHT PATTERSON ,LAUGHLIN,,,,,,JB CHARLESTON,JB LANGLEY-EUSTIS,HILL,,FAIRCHILD,FAIRCHILD,FAIRCHILD,FAIRCHILD,FAIRCHILD,FAIRCHILD,GOODFELLOW,GRAND FORKS,,WRIGHT PATTERSON ,JBSA RANDOLPH,,JBSA RANDOLPH,,KIRTLAND,,KIRTLAND,,NELLIS,,KIRTLAND,,NELLIS,,MAXWELL-GUNTER,,FAIRCHILD,EIELSON,LUKE,,,,,,
,,,,,,,,NELLIS,,,,,,JB ELMENDORF-RICH,KADENA,HOLLOMAN,,FE WARREN,FE WARREN,FE WARREN,FE WARREN,FE WARREN,FE WARREN,HOLLOMAN,HOLLOMAN,,,KIRTLAND,,KIRTLAND,,NELLIS,,NELLIS,,PATRICK,,NELLIS,,PATRICK,,MOUNTAIN HOME,,FE WARREN,ELLSWORTH,MACDILL,,,,,,
,,,,,,,,OFFUTT,,,,,,JB LANGLEY-EUSTIS,KIRTLAND,HURLBURT FIELD ,,GOODFELLOW,GOODFELLOW,GOODFELLOW,GOODFELLOW,GOODFELLOW,GOODFELLOW,HURLBURT FIELD ,HURLBURT FIELD,,,NELLIS,,NELLIS,,OFFUTT,,OFFUTT,,PATUXENT RIVER NA,,PATRICK,,PATUXENT RIVER NA,,OFFUTT,,GOODFELLOW,FAIRCHILD,MALMSTROM,,,,,,
,,,,,,,,SCOTT,,,,,,JB LEWIS-MCCHORD,LAKENHEATH,JB CHARLESTON,,GRAND FORKS,GRAND FORKS,GRAND FORKS,GRAND FORKS,GRAND FORKS,GRAND FORKS,JB CHARLESTON,JB CHARLESTON,,,OFFUTT,,OFFUTT,,PATRICK,,PATRICK,,PENTAGON,,PATUXENT RIVER NA,,PENTAGON,,PATRICK,,GRAND FORKS,FE WARREN,JBMDL MCGUIRE,,,,,,
,,,,,,,,SHAW,,,,,,JB PRL HBR-HICKAM,LUKE,JB ELMENDORF-RICH,,HOLLOMAN,HOLLOMAN,HOLLOMAN,HOLLOMAN,HOLLOMAN,HOLLOMAN,JB ELMENDORF-RICH,JB ELMENDORF-RICH,,,PATRICK,,PATRICK,,PATUXENT RIVER NA,,PATUXENT RIVER NA,,POWAY,,PENTAGON,,POWAY,,PATUXENT RIVER,,HANSCOM,GOODFELLOW,MINOT,,,,,,
,,,,,,,,SHEPPARD ,,,,,,JBMDL MCGUIRE ,MALMSTROM,JB LANGLEY-EUSTIS,,HURLBURT FIELD ,HURLBURT FIELD ,HURLBURT FIELD ,HURLBURT FIELD ,HURLBURT FIELD ,HURLBURT FIELD ,JB LANGLEY-EUSTIS,JB LANGLEY-EUSTIS,,,PATUXENT RIVER NA,,PATUXENT RIVER NA,,PENTAGON,,PENTAGON,,ROBINS,,POWAY,,ROBINS,,ROBINS,,HILL,GRAND FORKS,NELLIS,,,,,,
,,,,,,,,VANCE,,,,,,KADENA,MINOT,JB LEWIS-MCCHORD,,JB ANACOSTIA BOLLING,JB ANACOSTIA BOLLING,JB ANACOSTIA BOLLING,JB ANACOSTIA BOLLING,JB ANACOSTIA BOLLING,JB ANACOSTIA BOLLING,JBMDL MCGUIRE ,JB PRL HBR-HICKAM,,,PENTAGON,,PENTAGON,,POWAY,,POWAY,,TINKER,,ROBINS,,TINKER,,ROME LAB MTC ,,HOLLOMAN,HANSCOM,OFFUTT,,,,,,
